Chicken And Bacon Club Sandwich,"Grilled chicken and chopped bacon layered with lettuce, tomato on french baguette or whole grain bread, fries, salad, coleslaw and fruit or soup."
Chicken Quesadilla,
Cup Of Soup And French Bread,Homemade soup of the day served with baguette. Your choice of a large rim soup plate or smaller cup size.
Fish And Chips,"A filet of wild, Icelandic cod hand dipped in special bass ale batter. Served crispy hot with fries and tartar sauce."
Fruit And Blue Cheese Salad,"Baby greens, crumbled blue cheese, crisp apple, glazed walnuts and dried cranberries, tossed in champagne vinaigrette."
Goujons Of Cod And Chips,"Ale battered cod pieces with fries. A little more batter, a little less fish than our signature fish and chips."
Grilled Salmon And Salsa,"Atlantic salmon filet simply seasoned and grilled. Served with fresh vegetables, mashed potatoes and fruit salsa."
Quiche And Baby Greens,"Classic European quiche with bacon, cheese, egg, mushrooms in a pastry crust served warm with spring greens and your choice of dressing."
Salmon And Avocado Sandwich,"Freshly grilled Atlantic salmon served with lettuce, cucumber, tomato, sprouts on french baguette or whole grain bread, fries, salad, coleslaw and fruit or soup."
Shrimp And Chips,Tender jumbo shrimp in crisply bass ale batter. Served with fries and cocktail sauce.
Shrimp And Fish Combo,Jumbo shrimp and goujons of wild Icelandic cod in crispy ale batter. Served with fries cocktail and tartar sauce.
Tri Tip Quesadilla,
Tri-Tip And Swiss Sandwich,"Tender tri-tip steak served sliced on baguette piled with roasted onions, peppers under melted Swiss cheese, fries, salad, coleslaw and fruit or soup."
Tri-Tip Caesar Salad,"Tender tri-tip steak served sliced on crisp romaine lettuce tossed with Caesar dressing, shaved Parmesan cheese and garlic croutons."
Tuna Sandwich,"Tuna salad on fresh baguette or nine grain bread with tomato, cucumber, lettuce, soup or coleslaw and fruit garnish. Served with fries, salad, coleslaw and fruit or soup."
Veggie Quesadilla,
Veggies And Ranch,"Carrot, celery and red bell pepper veggie sticks with ranch for dipping."
